S.No.,Word,Meaning,Synonym,Conn.,POS,Sentence
300,perspicacious,"acutely insightful and wise / quick judging and astute, sagacity        ",,p,A ,She considers herself a perspicacious judge of character.
301,perspicuous / -uity,"transparently clear, easily understandable / clarity, antonym of ambiguity",,p,A / N,
302,pertinent,"appropriate, having precise or logical relevance, germane, apt",,p,A,
303,peruse,to examine with great care,,p,V,
304,pervade / -vasive,permeate or diffuse through / tendency to spread throughout,,z,V / A,
305,petrified,frightened as to be unable to move; stunned or paralyzed with terror,,n,,
306,petrify,to make hard rocklike ; make rigid and set into a conventional pattern,,z,,
307,petrous,like a rock hard stony       ,,z,,
308,petulant,unreasonably impatient          ,,n,,
309,philanthropy,"charity, desire to do good for mankind, altruism, antonym of misanthropy",,p,N,
310,philistine,a smug ignorant person one who lacks knowledge    ,,n,,
311,phlegmatic,calm sluggish temperament unemotional        ,,p,,
312,picaresque,involving clever rogues or adventurers       ,,n,,
313,pied,of mixed colors         ,,p,,
314,pillory,"to punish, hold up to public scorn",,n,V,
315,pine,waste away through sorrow or illness    ,,n,,
316,pious,dutiful to parents devoted to religion      ,,p,,
317,piquant,"agreeably pungent, stimulating         ",,p,,
318,pique,hurt the pride or self-respect stir (curiosity)     ,,n,,
319,pith,essential part force soft liquid substance      ,,z,,
320,pivotal,"of great importance (others depend on or ""revolve around"" it)     ",,p,,
321,plaintive,"mournful, melancholy, sorrowful         ",,n,,
322,plaque,flat metal as a memorial usually of brass / abnormal patch on teeth,,z,,
323,platitude,"a trite or banal statement, unoriginality      ",,n,,
324,plebeian,"one of the common people, vulgar, commoner",,n,N,
325,plethora,"glut, Extreme excess      ",,n,,
326,pliant,pliable easily bent shaped or twisted      ,,z,,
327,plod,continue doing something without resting       ,,z,,
328,plumb,get to the root of       ,,z,,
329,poignant,"deeply moving, keen         ",,z,,
330,polemical,"controversial, argumentative",,n,A,
331,poncho,large piece of cloth      ,,z,,
332,ponderous,"heavy, bulky, dull         ",,n,,
333,portent,omen marvelous threatening         ,,n,,
334,prattle,to babble meaninglessly in an empty and idle manner,,n,V,
335,preamble,preliminary introduction to a statute or constitution,,z,N,
336,precarious,uncertain risky dangerous         ,,n,,
337,precepts,rules establishing standards of conduct       ,,z,,
338,precipitate,solid substance in suspension or after settling or filtering,,z,N ,
339,precipitate / -tous,"hurl or throw violently, fall vertically, sharply, or headlong, occur abruptly",,n,V / A,
340,preclude,"prevent from happening, make impossible         ",,n,,
341,precocious,premature or advanced development of a child,,p,A,
342,precursory,"preliminary, anticipating          ",,z,,
343,predilection,"special liking, mental preference        ",,p,N,
344,preen,tidy / show self-satisfaction        ,,p,,
345,preponderance,greatness in number strength weight       ,,p,N,
346,presage,warning sign          ,,n,,
347,prescient / -nce,perceiving the significance of future events  / foreknowledge of events,,z,A / CN,
348,presumption,arrogance         ,,n,N,
349,preternatural,not normal or usual        ,,z,,
350,prevaricate,"to stray from the truth, to equivocate",,n,,
